# These were computed on the mgi, rgd, xenbase, zfin ortholog files which were cca 8 months old against new online data.
# 
[UniProtKB:Q96B67]: online = None, offline = ARRDC3; type = uniprot query
[ZFIN:ZDB-GENE-011026-1]: online = SRY, offline = None, type = ensembl query
[Xenbase:XB-GENE-968680]: online = PNPLA4, offline = None, type = ensembl query
[RGD:1561777]: online = MFSD4B, offline = None, type = ensembl query
[ZFIN:ZDB-GENE-041114-140]: online = PLA2G4C, offline = None, type = ensembl query
[Xenbase:XB-GENE-481465]: online = KREMEN1, offline = None, type = ensembl query
[Xenbase:XB-GENE-966419]: online = SULF1, offline = None, type = ensembl query
[Xenbase:XB-GENE-1006797]: online = CYP17A1, offline = None, type = ensembl query
[RGD:15003750]: online = ADGRB1, offline = None, type = ensembl query
[Xenbase:XB-GENE-923472]: online = VPS13D, offline = None, type = ensembl query
[Xenbase:XB-GENE-956631]: online = BSCL2, offline = None, type = ensembl query
[Xenbase:XB-GENE-951545]: online = LPL, offline = None, type = ensembl query
[Xenbase:XB-GENE-947888]: online = PCMTD2, offline = None, type = ensembl query
[ZFIN:ZDB-GENE-030717-4]: online = CDS2, offline = None, type = ensembl query
[Xenbase:XB-GENE-5756014]: online = PLA2G5, offline = None, type = ensembl query
[Xenbase:XB-GENE-1017054]: online = DGAT2, offline = None, type = ensembl query
[Xenbase:XB-GENE-955279]: online = STK11, offline = None, type = ensembl query
[Xenbase:XB-GENE-920447]: online = PLA2G6, offline = None, type = ensembl query
[Xenbase:XB-GENE-1002983]: online = FASN, offline = None, type = ensembl query
[Xenbase:XB-GENE-491413]: online = TOP3B, offline = None, type = ensembl query
[Xenbase:XB-GENE-993149]: online = INSM1, offline = None, type = ensembl query
[Xenbase:XB-GENE-5746165]: online = ESYT2, offline = None, type = ensembl query
[Xenbase:XB-GENE-975218]: online = MVD, offline = None, type = ensembl query
[Xenbase:XB-GENE-960794]: online = AGPS, offline = None, type = ensembl query
[RGD:15003334]: online = PTGIS, offline = None, type = ensembl query
[ZFIN:ZDB-GENE-030828-2]: online = HSD3B2, offline = None, type = ensembl query
[Xenbase:XB-GENE-1003590]: online = FLCN, offline = None, type = ensembl query
[Xenbase:XB-GENE-5818802]: online = ATG2A, offline = None, type = ensembl query
[Xenbase:XB-GENE-920362]: online = DHCR7, offline = None, type = ensembl query
[Xenbase:XB-GENE-948223]: online = OSBPL9, offline = None, type = ensembl query
[Xenbase:XB-GENE-485744]: online = VEGFA, offline = None, type = ensembl query
[Xenbase:XB-GENE-922348]: online = CETP, offline = None, type = ensembl query
[Xenbase:XB-GENE-985965]: online = SDR42E1, offline = None, type = ensembl query
[Xenbase:XB-GENE-942074]: online = HMGCS1, offline = None, type = ensembl query
[Xenbase:XB-GENE-5840593]: online = HMGCR, offline = None, type = ensembl query
[Xenbase:XB-GENE-920172]: online = CCBE1, offline = None, type = ensembl query
[Xenbase:XB-GENE-1005115]: online = TNFAIP8L2, offline = None, type = ensembl query
[ZFIN:ZDB-GENE-140106-38]: online = PLA2G4C, offline = None, type = ensembl query
[Xenbase:XB-GENE-6457109]: online = AUP1, offline = None, type = ensembl query
