# 728 mismatches. This search was performed against newly downloaded ortholog mapping files.
[ZFIN:ZDB-GENE-011026-1]: online = SRY, offline = None, type = ensembl query
[Xenbase:XB-GENE-968680]: online = PNPLA4, offline = None, type = ensembl query
[RGD:1561777]: online = MFSD4B, offline = None, type = ensembl query
[ZFIN:ZDB-GENE-041114-140]: online = PLA2G4C, offline = None, type = ensembl query
[Xenbase:XB-GENE-481465]: online = KREMEN1, offline = None, type = ensembl query
[Xenbase:XB-GENE-966419]: online = SULF1, offline = None, type = ensembl query
[RGD:1560766]: online = PID1, offline = None, type = ensembl query
[RGD:2320924]: online = OXCT2, offline = None, type = ensembl query
[MGI:99654]: online = EPHA5, offline = None, type = ensembl query
[Xenbase:XB-GENE-1006797]: online = CYP17A1, offline = None, type = ensembl query
[RGD:15003750]: online = ADGRB1, offline = None, type = ensembl query
[RGD:2325593]: online = MIR27B, offline = None, type = ensembl query
[RGD:1310748]: online = HDAC9, offline = None, type = ensembl query
[Xenbase:XB-GENE-923472]: online = VPS13D, offline = None, type = ensembl query
[MGI:102548]: online = TSC2, offline = None, type = ensembl query
[Xenbase:XB-GENE-956631]: online = BSCL2, offline = None, type = ensembl query
[RGD:1308616]: online = SZT2, offline = None, type = ensembl query
[Xenbase:XB-GENE-951545]: online = LPL, offline = None, type = ensembl query
[Xenbase:XB-GENE-947888]: online = PCMTD2, offline = None, type = ensembl query
[RGD:1561357]: online = LMO3, offline = None, type = ensembl query
[UniProtKB:Q7Z7G8]: online = None, offline = VPS13B; type = uniprot query
[Xenbase:XB-GENE-5756014]: online = PLA2G5, offline = None, type = ensembl query
[MGI:95485]: online = FASN, offline = None, type = ensembl query
[MGI:108091]: online = BCAR1, offline = None, type = ensembl query
[RGD:1306135]: online = IFNA13, offline = None, type = ensembl query
[RGD:69296]: online = SLC29A2, offline = None, type = ensembl query
[Xenbase:XB-GENE-1017054]: online = DGAT2, offline = None, type = ensembl query
[Xenbase:XB-GENE-955279]: online = STK11, offline = None, type = ensembl query
[Xenbase:XB-GENE-920447]: online = PLA2G6, offline = None, type = ensembl query
[RGD:2325579]: online = MIR103A1, offline = None, type = ensembl query
[MGI:96605]: online = ITGA6, offline = None, type = ensembl query
[Xenbase:XB-GENE-1002983]: online = FASN, offline = None, type = ensembl query
[Xenbase:XB-GENE-491413]: online = EGFL7, offline = None, type = ensembl query
[Xenbase:XB-GENE-993149]: online = INSM1, offline = None, type = ensembl query
[Xenbase:XB-GENE-5746165]: online = ESYT2, offline = None, type = ensembl query
[RGD:1359718]: online = WDR45, offline = None, type = ensembl query
[RGD:1310196]: online = WASHC1, offline = None, type = ensembl query
[RGD:1560582]: online = PHOX2B, offline = None, type = ensembl query
[RGD:1583866]: online = ESRRA, offline = None, type = ensembl query
[Xenbase:XB-GENE-975218]: online = MVD, offline = None, type = ensembl query
[RGD:10059729]: online = BAIAP3, offline = None, type = ensembl query
[Xenbase:XB-GENE-960794]: online = AGPS, offline = None, type = ensembl query
[RGD:2325428]: online = MIR144, offline = None, type = ensembl query
[RGD:2325346]: online = MIR195, offline = None, type = ensembl query
[RGD:15003334]: online = PTGIS, offline = None, type = ensembl query
[ZFIN:ZDB-GENE-030828-2]: online = HSD3B2, offline = None, type = ensembl query
[MGI:97722]: online = PNLIP, offline = None, type = ensembl query
[Xenbase:XB-GENE-1003590]: online = FLCN, offline = None, type = ensembl query
[MGI:88378]: online = CES1, offline = None, type = ensembl query
[Xenbase:XB-GENE-5818802]: online = ATG2A, offline = None, type = ensembl query
[Xenbase:XB-GENE-920362]: online = DHCR7, offline = None, type = ensembl query
[Xenbase:XB-GENE-948223]: online = OSBPL9, offline = None, type = ensembl query
[Xenbase:XB-GENE-485744]: online = VEGFA, offline = None, type = ensembl query
[MGI:99894]: online = HNRNPK, offline = None, type = ensembl query
[Xenbase:XB-GENE-922348]: online = CETP, offline = None, type = ensembl query
[Xenbase:XB-GENE-985965]: online = SDR42E1, offline = None, type = ensembl query
[Xenbase:XB-GENE-942074]: online = HMGCS1, offline = None, type = ensembl query
[MGI:99466]: online = SCT, offline = None, type = ensembl query
[RGD:2325385]: online = MIR130A, offline = None, type = ensembl query
[MGI:1351319]: online = SNORD35A, offline = None, type = ensembl query
[RGD:1564451]: online = TRIB2, offline = None, type = ensembl query
[Xenbase:XB-GENE-5840593]: online = HMGCR, offline = None, type = ensembl query
[Xenbase:XB-GENE-920172]: online = CCBE1, offline = None, type = ensembl query
[Xenbase:XB-GENE-1005115]: online = TNFAIP8L2, offline = None, type = ensembl query
[ZFIN:ZDB-GENE-140106-38]: online = PLA2G4C, offline = None, type = ensembl query
[RGD:1584886]: online = QKI, offline = None, type = ensembl query
[MGI:103151]: online = PLTP, offline = None, type = ensembl query
[RGD:1563567]: online = WAS, offline = None, type = ensembl query
[Xenbase:XB-GENE-6457109]: online = AUP1, offline = None, type = ensembl query
[Xenbase:XB-GENE-920733]: online = INSR, offline = None, type = ensembl query
[RGD:2325610]: online = MIR135B, offline = None, type = ensembl query
[RGD:2325505]: online = MIR188, offline = None, type = ensembl query
[RGD:1307076]: online = CNTNAP2, offline = None, type = ensembl query
[RGD:2325618]: online = MIR337, offline = None, type = ensembl query
[MGI:98834]: online = TP53, offline = None, type = ensembl query
[Xenbase:XB-GENE-482528]: online = FOXO1, offline = None, type = ensembl query
[RGD:1591939]: online = NRARP, offline = None, type = ensembl query
[RGD:1563968]: online = NDP, offline = None, type = ensembl query
[RGD:1306620]: online = MAP2K3, offline = None, type = ensembl query
[Xenbase:XB-GENE-6043707]: online = OSBP2, offline = None, type = ensembl query
[Xenbase:XB-GENE-949224]: online = GLTP, offline = None, type = ensembl query
[MGI:103290]: online = RELA, offline = None, type = ensembl query
[RGD:2325551]: online = MIR204, offline = None, type = ensembl query
[RGD:2325532]: online = MIR361, offline = None, type = ensembl query
[Xenbase:XB-GENE-959028]: online = NEU1, offline = None, type = ensembl query
[Xenbase:XB-GENE-1010230]: online = FADS2, offline = None, type = ensembl query
[Xenbase:XB-GENE-5928098]: online = DGAT2L6, offline = None, type = ensembl query
[MGI:1201791]: online = SOCS3, offline = None, type = ensembl query
[RGD:621622]: online = TMSB4Y, offline = None, type = ensembl query
[Xenbase:XB-GENE-6077418]: online = PIK3R2, offline = None, type = ensembl query
[MGI:109249]: online = ADAMTS1, offline = None, type = ensembl query
[RGD:1595866]: online = HLA-DPB1, offline = None, type = ensembl query
[RGD:1585601]: online = JMY, offline = None, type = ensembl query
[RGD:1593188]: online = ENG, offline = None, type = ensembl query
[MGI:88233]: online = C6, offline = None, type = ensembl query
[MGI:95515]: online = FGF1, offline = None, type = ensembl query
[ZFIN:ZDB-GENE-120306-18]: online = CD4, offline = None, type = ensembl query
[Xenbase:XB-GENE-989574]: online = PLCE1, offline = None, type = ensembl query
[Xenbase:XB-GENE-988591]: online = PLCH2, offline = None, type = ensembl query
[ZFIN:ZDB-GENE-030616-75]: online = SH2D1B, offline = None, type = ensembl query
[MGI:97852]: online = RAP1A, offline = None, type = ensembl query
[MGI:98888]: online = UBB, offline = None, type = ensembl query
[Xenbase:XB-GENE-970871]: online = KCTD10, offline = None, type = ensembl query
[RGD:2325359]: online = MIR423, offline = None, type = ensembl query
[Xenbase:XB-GENE-478672]: online = IRS1, offline = None, type = ensembl query
[Xenbase:XB-GENE-5764957]: online = MOGAT2, offline = None, type = ensembl query
[RGD:2325548]: online = MIR214, offline = None, type = ensembl query
[MGI:87918]: online = ADD1, offline = None, type = ensembl query
